inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,inspector_missing
INSP01730,2025-10-26,SCH0476,False,True,True,True,False,,Good condition,True
INSP02006,2025-08-02,SCH0075,True,True,True,False,False,Zashil Hegde,Average,False
INSP02154,2025-10-12,SCH0434,True,False,True,True,UNKNOWN,,No remarks,True
INSP02572,2025-04-28,SCH0556,True,False,True,False,True,Girindra Tiwari,,False
INSP01147,2025-09-30,SCH0535,True,False,True,False,False,Vritti Agarwal,No remarks,False
INSP00310,2026-02-20,SCH0037,True,True,True,True,UNKNOWN,,,True
INSP02274,2025-12-19,SCH0434,True,True,True,True,False,Baghyawati Chana,Toilets locked,False
INSP02440,2026-01-09,SCH0458,False,True,True,True,False,Shivansh Trivedi,Toilets locked,False
INSP00193,2026-03-12,SCH0533,False,True,True,True,True,Shivansh Tara,No remarks,False
INSP00195,2025-07-12,SCH0346,True,True,True,True,False,Nimrat Hayer,Toilets locked,False
INSP00777,2025-06-18,SCH0058,True,False,True,True,False,Oeshi Pradhan,Needs repair,False
INSP01678,2026-03-24,SCH0263,True,True,True,True,False,Fitan Halder,Toilets locked,False
INSP01236,2025-03-11,SCH0442,False,True,False,False,False,,Good condition,True
INSP01394,2025-09-14,SCH0261,True,True,True,False,False,Yamini Naidu,Needs repair,False
INSP00045,2025-04-11,SCH0003,True,True,False,True,True,Nicholas Keer,No remarks,False
INSP01765,2025-04-28,SCH0167,False,True,False,False,False,Zinal Bhavsar,Average,False
INSP00946,2025-06-09,SCH0129,True,True,True,False,True,Isaac Khatri,,False
INSP02052,2025-08-18,SCH0398,True,True,False,True,False,Peter Mody,No remarks,False
INSP00830,2025-07-20,SCH0526,True,False,True,True,False,Yatin Ghose,Toilets locked,False
INSP02967,2025-09-16,SCH0153,False,True,True,False,False,Falak Jaggi,Good condition,False
INSP02922,2026-02-04,SCH0194,True,True,True,True,False,Isaiah Nagarajan,,False
INSP01279,2025-12-13,SCH0475,True,True,False,True,False,Ekani Oommen,Average,False
INSP02900,2025-06-28,SCH0138,False,True,True,True,False,Maya Sastry,,False
INSP02808,2025-04-30,SCH0052,False,True,True,False,True,Vyanjana Badal,Good condition,False
INSP01802,2026-02-28,SCH0364,False,True,True,True,False,Aishani Dhillon,Needs repair,False
INSP00486,2025-09-06,SCH0501,UNKNOWN,True,True,False,True,Faras Yohannan,Average,False
INSP02372,2026-03-13,SCH0600,True,False,True,True,False,Upkaar Narang,Good condition,False
INSP00443,2025-05-15,SCH0530,True,False,True,True,UNKNOWN,Gauri Deshmukh,Average,False
INSP01642,2025-11-26,SCH0239,True,True,True,UNKNOWN,True,Vasudha Jayaraman,Average,False
INSP02598,2025-04-28,SCH0223,True,True,True,True,True,Pranav Master,Average,False
INSP01714,2025-05-07,SCH0320,False,True,True,True,True,,Good condition,True
INSP02982,2025-09-26,SCH0169,UNKNOWN,True,UNKNOWN,UNKNOWN,True,Sanya Choudhry,Toilets locked,False
INSP00757,2025-10-22,SCH0129,False,True,True,False,True,Bhanumati Sridhar,Needs repair,False
INSP01881,2025-04-29,SCH0593,True,True,True,True,False,Hemani Chander,No remarks,False
INSP00241,2025-11-09,SCH0360,True,True,True,True,True,Peter Rajagopalan,Needs repair,False
INSP02355,2026-01-22,SCH0211,True,True,False,True,True,Alexander Gokhale,,False
INSP01666,2025-12-27,SCH0199,True,True,False,False,False,Diya Saini,,False
INSP02431,2026-03-16,SCH0083,True,True,True,False,True,Ikshita Dhillon,No remarks,False
INSP01744,2026-10-02,SCH0308,True,True,True,False,True,Ekansh Bhandari,No remarks,False
INSP00140,2025-07-10,SCH0103,True,True,False,True,False,Zaitra Chandran,Good condition,False
INSP00347,2025-09-16,SCH0194,UNKNOWN,True,False,True,True,Neel Murthy,,False
INSP01537,2025-10-29,SCH0105,True,True,True,False,True,Chandran Gopal,,False
INSP00315,2025-11-13,SCH0483,True,True,True,False,False,Anvi Tara,Needs repair,False
INSP01743,2026-02-06,SCH0257,True,True,True,True,True,,,True
INSP00323,2025-02-10,SCH0316,True,True,True,False,False,Raksha Jain,Good condition,False
INSP01682,2026-01-07,SCH0302,True,True,True,True,True,Vaishnavi Rau,Average,False
INSP01460,2025-05-09,SCH0289,True,False,True,False,UNKNOWN,Charles Bahri,Average,False
INSP02034,2026-01-12,SCH0386,True,False,False,False,False,Zarna Rau,,False
INSP00257,2025-07-21,SCH0408,UNKNOWN,True,True,True,True,Advay Rama,Average,False
INSP02300,2026-01-17,SCH0566,UNKNOWN,False,True,False,True,Balhaar Wable,Toilets locked,False
INSP01732,2025-11-12,SCH0529,True,False,False,True,False,Dalaja Lala,Needs repair,False
INSP02601,2026-01-03,SCH0154,True,True,True,False,False,Vrishti Dugar,Toilets locked,False
INSP00204,2025-09-06,SCH0590,True,True,False,True,True,Jacob Mani,No remarks,False
INSP01785,2025-03-04,SCH0488,False,True,True,False,False,Vidhi Om,Good condition,False
INSP00299,2025-12-14,SCH0599,False,True,True,False,False,Odika Bhandari,,False
INSP00052,2025-12-07,SCH0320,False,True,True,False,False,Daksha Kapadia,Good condition,False
INSP00215,2025-05-19,SCH0419,True,True,True,False,False,Ikbal Nagy,Needs repair,False
INSP00064,2026-03-03,SCH0051,True,True,True,False,False,Forum Choudhary,Toilets locked,False
INSP02497,2026-02-23,SCH0004,True,True,True,True,False,Ayushman Vyas,Needs repair,False
INSP02801,2025-05-08,SCH0473,False,False,False,True,True,Lavanya Thaker,Needs repair,False
INSP01358,2025-12-11,SCH0527,True,False,True,False,False,Ojasvi Chad,Toilets locked,False
INSP00300,2025-04-13,SCH0443,False,True,True,False,True,Yauvani Narang,Toilets locked,False
INSP00433,2025-08-27,SCH0523,True,True,True,True,True,Viraj Munshi,Toilets locked,False
INSP01101,2026-02-26,SCH0512,False,True,True,False,True,Abdul Dayal,Average,False
INSP00053,2025-04-05,SCH0112,True,True,True,True,False,Lipika Agarwal,Needs repair,False
INSP00795,2025-10-20,SCH0458,False,True,True,True,UNKNOWN,Caleb Pandya,No remarks,False
INSP02078,2025-10-15,SCH0542,False,True,True,False,False,Raghav Bakshi,Average,False
INSP01252,2025-10-22,SCH0450,True,True,True,False,False,Dev Sawhney,Average,False
INSP01075,2025-09-03,SCH0176,False,True,False,True,False,Oviya Sidhu,Average,False
INSP02378,2025-07-03,SCH0441,True,True,True,True,False,Manthan Bora,,False
INSP01588,2025-12-12,SCH0440,True,True,True,True,True,Yatin Mander,Toilets locked,False
INSP01289,2025-10-31,SCH0546,True,True,True,True,True,Brijesh Natarajan,Toilets locked,False
INSP01675,2025-08-26,SCH0035,True,True,True,True,UNKNOWN,Rachana Vaidya,No remarks,False
INSP02133,2026-01-12,SCH0367,True,False,True,UNKNOWN,False,Krishna Viswanathan,Toilets locked,False
INSP01448,2026-03-03,SCH0422,True,True,True,UNKNOWN,False,Isaac Pall,Average,False
INSP02897,2025-10-14,SCH0263,True,True,False,False,False,Idika Muni,No remarks,False
INSP00071,2025-08-20,SCH0047,True,UNKNOWN,True,False,False,Advaith Ghosh,No remarks,False
INSP00643,2026-03-30,SCH0506,True,True,True,True,True,Anjali Lalla,No remarks,False
INSP02543,2026-03-04,SCH0164,False,True,True,False,True,Quincy Ramaswamy,No remarks,False
INSP00945,2025-11-12,SCH0073,True,True,True,False,True,Omaja Ghose,Toilets locked,False
INSP02852,2026-01-11,SCH0050,True,True,True,UNKNOWN,False,Hardik Venkatesh,,False
INSP02539,2025-04-21,SCH0131,True,UNKNOWN,True,True,True,Jeet Swaminathan,,False
INSP01106,2025-04-13,SCH0254,True,UNKNOWN,True,True,False,,No remarks,True
INSP01175,2025-04-22,SCH0422,False,False,True,False,False,Amaira Tara,Average,False
INSP02670,2025-08-10,SCH0525,False,True,False,True,UNKNOWN,Krish Kala,,False
INSP01757,2025-04-25,SCH0354,UNKNOWN,True,True,True,True,Siya Kashyap,,False
INSP00479,2025-07-09,SCH0535,True,False,True,False,UNKNOWN,Eiravati Buch,Toilets locked,False
INSP02178,2026-01-03,SCH0160,True,True,False,False,True,Madhav Rattan,Needs repair,False
INSP02429,2025-06-14,SCH0291,True,True,False,True,False,Ekantika Nath,Needs repair,False
INSP00730,2025-09-10,SCH0305,True,False,True,True,False,Eshana Dey,Needs repair,False
INSP01761,2025-07-18,SCH0564,False,True,True,True,UNKNOWN,Tanveer Reddy,Average,False
INSP02282,2025-10-30,SCH0168,True,True,True,False,True,Yug Sur,Average,False
INSP00290,2025-12-28,SCH0416,UNKNOWN,True,UNKNOWN,True,True,Warjas Vala,,False
INSP01092,2025-12-23,SCH0532,True,True,True,False,True,Balendra Warrior,Needs repair,False
INSP01420,2025-05-01,SCH0040,False,True,True,True,UNKNOWN,Darsh Nori,Needs repair,False
INSP00451,2025-07-15,SCH0490,True,True,False,False,False,Qushi Tella,Average,False
INSP02443,2026-02-23,SCH0473,True,UNKNOWN,True,True,UNKNOWN,Chavvi Pradhan,,False
INSP00808,2025-07-02,SCH0493,True,False,False,True,UNKNOWN,Azaan Basak,,False
INSP00464,2025-06-30,SCH0227,True,True,True,True,False,Bhavya Doshi,Average,False
INSP02529,2025-07-19,SCH0041,True,True,False,True,True,Advik Raja,Needs repair,False
INSP02699,2025-03-12,SCH0482,True,True,False,True,False,,,True
INSP00568,2026-03-31,SCH0043,True,True,False,False,False,Edhitha Srivastava,Needs repair,False
INSP01611,2025-11-06,SCH0493,True,True,True,True,True,Zehaan Virk,Needs repair,False
INSP00077,2025-08-18,SCH0186,False,False,True,True,False,Aachal Chandra,Good condition,False
INSP00332,2025-08-20,SCH0450,True,True,True,True,True,Fiyaz Chanda,Average,False
INSP00612,2026-03-17,SCH0327,True,True,True,False,UNKNOWN,Geetika Raman,,False
INSP01074,2025-10-12,SCH0265,False,True,True,True,False,Tanvi Wagle,Toilets locked,False
INSP00786,2026-02-13,SCH0313,False,False,False,True,True,Zarna Bhargava,No remarks,False
INSP00046,2025-11-14,SCH0280,True,True,True,True,False,Naksh Ray,Good condition,False
INSP02908,2025-06-12,SCH0248,True,True,False,True,False,Bhavani Gaba,Toilets locked,False
INSP00344,2026-06-01,SCH0451,True,True,True,True,True,Ganga Korpal,Toilets locked,False
INSP02171,2025-11-27,SCH0171,True,True,False,False,False,Anirudh Muni,Good condition,False
INSP01560,2025-09-06,SCH0554,True,True,True,False,False,,Needs repair,True
INSP00545,2025-06-02,SCH0302,False,True,True,True,True,Ishanvi Wason,Needs repair,False
INSP01024,2025-11-08,SCH0428,True,True,True,True,True,Rehaan Ahluwalia,No remarks,False
INSP00153,2025-10-15,SCH0540,True,True,True,True,True,Geetika Kulkarni,,False
INSP01981,2025-05-03,SCH0499,True,True,True,False,False,,Toilets locked,True
INSP01323,2025-09-07,SCH0264,True,True,True,True,False,Triya Dutta,No remarks,False
INSP01019,2025-06-06,SCH0303,True,True,True,True,UNKNOWN,Vedant Hayer,No remarks,False
INSP02182,2026-01-29,SCH0248,True,True,True,False,True,Krisha Mital,Good condition,False
INSP00001,2025-09-22,SCH0087,True,True,True,True,UNKNOWN,Ira Ranganathan,Good condition,False
INSP01463,2025-06-28,SCH0247,False,True,False,True,True,Alexander Garde,Needs repair,False
INSP00622,2025-10-05,SCH0089,False,True,True,False,False,Girish Batta,Average,False
INSP00409,2025-04-17,SCH0069,True,True,True,False,True,Vaishnavi Sarkar,No remarks,False
INSP02837,2025-04-06,SCH0424,False,UNKNOWN,False,False,UNKNOWN,Gabriel Biswas,Average,False
INSP01967,2025-08-30,SCH0105,True,False,True,False,False,Yoshita Sridhar,Toilets locked,False
INSP02845,2025-11-29,SCH0341,True,True,True,True,True,Parth Bawa,Average,False
INSP01622,2026-03-15,SCH0546,True,True,False,False,True,Chaman Dubey,,False
INSP01367,2025-12-21,SCH0078,True,True,True,True,True,Suhani Viswanathan,Good condition,False
INSP00888,2025-08-21,SCH0179,False,False,True,UNKNOWN,False,Niharika Subramaniam,,False
INSP01845,2025-05-20,SCH0105,True,True,True,True,UNKNOWN,Wridesh Patil,,False
INSP00033,2025-06-24,SCH0323,True,True,True,True,True,Urvi Dani,,False
INSP00212,2025-05-22,SCH0080,True,True,True,False,False,Daksh Vora,Good condition,False
INSP02551,2025-12-20,SCH0186,True,True,True,True,False,David Cheema,Toilets locked,False
INSP00015,2025-04-05,SCH0124,True,True,False,True,True,Yashoda Jani,Average,False
INSP00094,2025-10-28,SCH0234,True,False,True,False,True,Ekapad Rattan,Needs repair,False
INSP01256,2025-08-30,SCH0037,True,True,True,True,True,Manya Mody,No remarks,False
INSP01398,2025-11-05,SCH0517,True,True,True,False,False,Wahab Patil,Toilets locked,False
INSP02819,2025-11-10,SCH0116,True,True,False,UNKNOWN,True,,Good condition,True
INSP00355,2026-03-02,SCH0410,True,True,UNKNOWN,True,False,Yoshita Nazareth,Average,False
INSP00150,2025-12-30,SCH0428,True,False,False,False,True,Christopher Dutt,Good condition,False
INSP00255,2025-05-05,SCH0540,True,True,False,True,True,Jai Varughese,Average,False
INSP02030,2025-04-04,SCH0010,True,True,False,True,False,,,True
INSP00599,2025-04-13,SCH0292,True,True,False,True,False,Bakhshi Shan,,False
INSP00185,2025-05-30,SCH0041,False,True,True,False,False,Osha Iyengar,No remarks,False
INSP00579,2025-06-07,SCH0345,False,True,UNKNOWN,False,False,,Average,True
INSP01091,2025-09-12,SCH0447,True,True,True,True,True,,,True
INSP01174,2025-11-25,SCH0340,True,True,True,True,False,Maanav Rau,Needs repair,False
INSP02252,2025-12-04,SCH0476,True,True,True,False,False,Anita Kannan,,False
INSP00472,2025-08-26,SCH0242,True,True,True,False,True,Janya Lalla,Average,False
INSP01966,2026-03-13,SCH0281,True,True,False,False,True,Vihaan Varma,Good condition,False
INSP01964,2025-06-21,SCH0598,True,True,True,True,False,Jeevika Pandit,Average,False
INSP01303,2026-03-17,SCH0359,True,True,UNKNOWN,True,False,Vihaan Bora,Good condition,False
INSP02998,2026-03-20,SCH0117,True,True,UNKNOWN,True,False,Arya Shenoy,Toilets locked,False
INSP00258,2025-06-07,SCH0067,False,True,True,True,False,Unnati Iyengar,Toilets locked,False
INSP00933,2025-07-02,SCH0176,False,True,True,True,True,Yashasvi Sethi,No remarks,False
INSP01685,2025-11-20,SCH0505,True,True,False,False,False,Ayushman Chand,Average,False
INSP00719,2025-12-06,SCH0533,True,True,True,True,True,Harinakshi Boase,,False
INSP00597,2026-06-02,SCH0014,False,True,False,True,False,Rohan Rau,No remarks,False
INSP00611,2025-09-01,SCH0432,True,True,True,True,True,Nachiket Purohit,No remarks,False
INSP00756,2025-10-24,SCH0489,UNKNOWN,True,True,False,False,Suhani Baral,Toilets locked,False
INSP02326,2025-08-14,SCH0196,True,True,True,True,True,Wazir Varty,Good condition,False
INSP01507,2025-09-28,SCH0177,False,UNKNOWN,True,False,True,Chanchal Parmer,,False
INSP02488,2025-12-13,SCH0209,True,False,True,True,False,Urvi Datta,Toilets locked,False
INSP01887,2025-07-16,SCH0019,True,True,True,True,UNKNOWN,Balvan Vohra,,False
INSP01339,2025-04-11,SCH0428,False,True,False,True,True,,Good condition,True
INSP02612,2025-09-08,SCH0400,UNKNOWN,True,True,False,False,Wahab Thakkar,No remarks,False
INSP00175,2025-04-18,SCH0427,True,True,True,False,False,Abdul Ratti,Average,False
INSP01392,2025-07-10,SCH0428,True,True,True,True,True,Yug Pradhan,Needs repair,False
INSP02249,2026-03-17,SCH0026,True,True,True,True,UNKNOWN,Tanmayi Goel,,False
INSP00121,2025-09-08,SCH0480,True,True,True,True,True,Ekanta Ramesh,No remarks,False
INSP02893,2026-09-01,SCH0257,True,True,True,True,True,Maya Cheema,Toilets locked,False
INSP00529,2026-03-25,SCH0080,True,True,True,UNKNOWN,True,Jacob Buch,Needs repair,False
INSP02568,2026-01-24,SCH0356,True,True,False,True,True,Mahika Swaminathan,,False
INSP00904,2026-02-13,SCH0380,UNKNOWN,True,True,UNKNOWN,False,Sai Vasa,Toilets locked,False
INSP02916,2026-03-19,SCH0327,True,True,False,False,True,Aditya Korpal,Needs repair,False
INSP00440,2025-10-15,SCH0026,True,True,True,True,True,Ronith Desai,Toilets locked,False
INSP01379,2025-06-04,SCH0026,True,True,True,True,UNKNOWN,Samar Sandal,Average,False
INSP02773,2025-08-27,SCH0124,True,True,True,True,True,Pratyush Parsa,Good condition,False
INSP02145,2025-12-07,SCH0522,True,UNKNOWN,False,True,True,Hemal Contractor,Good condition,False
INSP00189,2025-12-10,SCH0311,True,True,True,True,True,Ishanvi Mangal,Average,False
INSP01951,2025-08-13,SCH0202,True,True,False,True,True,,Average,True
INSP01265,2026-12-01,SCH0122,True,True,True,False,False,Maanas Murty,Toilets locked,False
INSP02351,2025-04-20,SCH0204,True,False,True,False,False,Leena Wason,,False
INSP01115,2025-04-09,SCH0269,UNKNOWN,False,False,True,True,Darsh Krishna,No remarks,False
INSP00271,2026-12-01,SCH0240,True,True,True,True,False,Timothy Ghosh,Toilets locked,False
INSP00252,2025-04-10,SCH0111,True,True,True,True,False,Mohini Soni,,False
INSP00369,2026-03-27,SCH0347,False,True,False,True,True,Geetika Mishra,Toilets locked,False
INSP00388,2025-06-27,SCH0573,True,True,True,False,True,Ishaan Chandran,Average,False
INSP01422,2026-01-09,SCH0024,True,True,UNKNOWN,True,False,George Rai,Good condition,False
INSP00810,2025-10-25,SCH0511,False,True,True,False,False,Ira Lall,,False
INSP01953,2025-06-06,SCH0033,False,UNKNOWN,False,False,True,Ria Ray,No remarks,False
INSP02483,2025-06-27,SCH0237,UNKNOWN,True,True,True,True,Bhanumati Balay,Needs repair,False
INSP00247,2025-12-19,SCH0255,False,True,False,True,False,,Needs repair,True
INSP01238,2025-05-20,SCH0211,True,True,False,True,True,Finn Oommen,No remarks,False
INSP02432,2025-08-05,SCH0406,True,UNKNOWN,True,UNKNOWN,True,Lekha Khanna,Average,False
INSP01150,2025-10-09,SCH0432,False,True,True,False,False,Abhimanyu Gopal,Needs repair,False
INSP02168,2025-03-09,SCH0592,False,True,True,True,False,Isha Nazareth,,False
INSP00977,2025-08-28,SCH0305,True,True,True,True,False,Samar Modi,Good condition,False
INSP02500,2025-09-14,SCH0294,True,True,True,True,UNKNOWN,,Needs repair,True
INSP02165,2025-10-31,SCH0541,True,True,True,True,True,Vansha Mand,Toilets locked,False
INSP00444,2026-02-04,SCH0458,True,True,True,True,True,Abha Om,Toilets locked,False
INSP02806,2025-12-10,SCH0599,True,True,False,False,True,Abhiram Karnik,Needs repair,False
INSP00565,2025-07-21,SCH0573,True,False,True,True,False,Lohit Palan,Good condition,False
INSP02093,2025-10-29,SCH0375,True,True,True,True,True,Rudra Master,Toilets locked,False
INSP00677,2025-04-11,SCH0143,False,True,True,True,False,Turvi Agarwal,Needs repair,False
INSP00880,2025-07-08,SCH0590,True,True,True,UNKNOWN,False,,Toilets locked,True
INSP02660,2026-07-03,SCH0552,True,True,False,True,False,Nidra Bhatt,No remarks,False
INSP01860,2025-08-17,SCH0576,True,True,True,True,False,Onveer Kalla,Toilets locked,False
INSP02795,2025-12-15,SCH0260,True,True,True,True,False,Arin Seshadri,Average,False
INSP00176,2025-11-13,SCH0556,True,True,True,False,False,Tanay Master,Toilets locked,False
INSP00556,2025-06-16,SCH0479,False,True,True,False,False,Banjeet Garde,Toilets locked,False
INSP02222,2025-11-19,SCH0140,True,True,True,UNKNOWN,UNKNOWN,Tanvi Gupta,Average,False
INSP01557,2025-04-23,SCH0097,False,True,True,True,True,Vidhi Dora,Good condition,False
INSP02959,2026-02-24,SCH0062,False,True,True,True,False,Zinal Halder,No remarks,False
INSP02293,2026-03-07,SCH0237,False,True,True,False,False,Janani Varkey,No remarks,False
INSP01809,2025-12-19,SCH0294,True,True,UNKNOWN,False,True,Nathaniel Mani,Needs repair,False
INSP00868,2025-04-09,SCH0321,True,False,True,False,False,,Good condition,True
INSP02119,2025-04-30,SCH0022,True,True,True,True,True,Dalbir Tandon,Good condition,False
INSP00450,2025-12-28,SCH0066,False,True,True,False,True,,Toilets locked,True
INSP01135,2025-10-20,SCH0317,True,False,False,False,False,Advik Peri,Needs repair,False
INSP01851,2026-02-28,SCH0294,True,True,True,True,True,Keya Dua,,False
INSP00582,2025-12-27,SCH0312,False,True,False,UNKNOWN,False,Lekha Mammen,,False
INSP02491,2026-01-27,SCH0066,False,True,True,False,True,Eta Lalla,Average,False
INSP02051,2025-10-22,SCH0072,True,True,True,True,True,Thomas Dhar,Good condition,False
INSP02664,2025-06-13,SCH0199,False,True,False,UNKNOWN,False,Bakhshi Koshy,No remarks,False
INSP01426,2026-01-18,SCH0067,True,True,True,True,True,Urvi Chandra,Average,False
INSP02172,2025-05-25,SCH0172,False,True,True,True,True,Upadhriti Singhal,No remarks,False
INSP00765,2025-04-26,SCH0333,False,True,False,False,False,Maanas Gupta,,False
INSP02549,2025-10-04,SCH0193,True,True,True,False,False,Advik Morar,Good condition,False
INSP00508,2026-03-14,SCH0042,True,True,False,True,True,,Good condition,True
INSP01946,2025-11-13,SCH0282,True,True,True,False,True,Yug Sachdeva,Average,False
INSP00267,2025-12-26,SCH0482,True,True,True,False,False,Manthan Maharaj,Needs repair,False
INSP00197,2026-01-14,SCH0416,True,False,UNKNOWN,True,True,Rajata Sarraf,Average,False
INSP02941,2025-04-18,SCH0198,True,UNKNOWN,True,False,False,Jalsa Dhar,Average,False
INSP00089,2025-06-14,SCH0256,True,True,False,False,True,Thomas Kar,No remarks,False
INSP02884,2025-12-06,SCH0265,True,True,True,False,True,Nitara Chandra,Needs repair,False
INSP01318,2025-06-06,SCH0350,True,True,True,True,False,,Good condition,True
INSP02826,2025-04-13,SCH0414,True,True,True,True,True,Warinder Palan,Good condition,False
INSP00679,2025-07-25,SCH0278,True,True,False,True,False,Wishi Hayre,No remarks,False
INSP00913,2025-05-03,SCH0592,UNKNOWN,True,True,True,False,Aarini Korpal,Toilets locked,False
INSP00728,2026-03-30,SCH0033,True,True,True,True,True,Ridhi Gour,No remarks,False
INSP00411,2026-01-23,SCH0049,True,True,True,True,False,Harita Bala,Needs repair,False
INSP00991,2026-01-22,SCH0546,True,True,True,True,False,Keya Sampath,Good condition,False
INSP00583,2025-06-25,SCH0152,False,False,True,True,False,,Needs repair,True
INSP02724,2025-12-23,SCH0574,True,True,True,UNKNOWN,False,Urvi D’Alia,,False
INSP00026,2025-09-25,SCH0114,UNKNOWN,True,True,True,True,,Needs repair,True
INSP02359,2025-03-08,SCH0388,UNKNOWN,True,True,True,False,Eshana Devan,,False
INSP02709,2025-12-11,SCH0525,True,True,True,True,UNKNOWN,,No remarks,True
